,ic_mean,ic_ir
70,-0.06973429523817228,-0.6693768227694332
158,-0.06582262184304179,-0.4788598721026832
20,-0.06227133277918362,-0.39471449118217083
18,-0.06132370537125902,-0.39073631727757924
19,-0.06132218785700391,-0.39072193180897236
150,-0.06061829860091336,-0.5912337331497747
46,0.06055868375198566,0.34783741756100756
9,-0.0602659006812567,-0.45710333281354426
3,-0.05983409739421509,-0.47269471897463183
12,0.05859283822525514,0.5350019784258717
109,-0.05792493597760478,-0.47308820537859547
29,-0.057513580510538474,-0.4112718159624784
31,-0.0573801588273953,-0.3391195704216427
34,0.0573800599393865,0.33911894077938465
14,-0.05681791972947768,-0.41214548191442835
168,0.05522309021149216,0.4696495974449579
68,-0.05486665827690582,-0.41315780329972374
102,-0.05441389164410912,-0.5023319148086811
95,-0.05441358466992249,-0.5136352065190831
71,-0.05424130833128578,-0.31161103658938494
157,0.053999889640596,0.4481927048237413
26,0.05294314418614766,0.409102934431895
43,-0.052859286249128244,-0.46887111591296743
188,-0.052342170346396266,-0.4848930440034324
48,0.05172493086357946,0.4349280562244469
80,-0.0515571808138565,-0.508307104625025
24,-0.05131598054335669,-0.3576545979337966
97,-0.051290017126963565,-0.4101006521879826
140,0.05114934613753283,0.46133337267060465
11,-0.04926773472981604,-0.4467853702100672
63,-0.048364920645712184,-0.30326908258120827
6,0.047879983598697676,0.44251851020301897
28,-0.04748791055445397,-0.32598456759947986
66,-0.04684666105484255,-0.2951050716736106
65,0.04684631481046402,0.2951022648283982
79,-0.0462214669287962,-0.2923923752991833
8,0.04574236872124801,0.33961287297812304
41,0.04555327255091565,0.3874809508391122
38,0.045534696268120525,0.4537609861308351
17,0.04519627432016377,0.3628648707532456
132,-0.045053416212631155,-0.41597728136068396
21,-0.04482411658757048,-0.33550278746126994
61,0.04473794114826024,0.3960997170585408
88,-0.044585494412447704,-0.27321671778974754
25,0.044086553241471406,0.3318767163996306
100,-0.043527237507741096,-0.3410917562361892
81,-0.04320883619880242,-0.3368513558573931
87,0.04316438417329664,0.4246179031558694
22,-0.042758533066967565,-0.3272260897590843
78,-0.041949480751646596,-0.27601102034400965
159,-0.04180746152862728,-0.2381753955050515
67,-0.041640065547020925,-0.2757570121563337
1,0.041429550243585155,0.5827649711604814
57,-0.04116338780508702,-0.27174896747426236
114,0.040993999144452696,0.39480424348785825
59,-0.0398604664558649,-0.3134940375764999
134,-0.03983594407391804,-0.27833695201653347
51,-0.039144053394221674,-0.2769617427522101
185,0.03909948896710922,0.35659186300440265
39,0.039078543543479914,0.352469502253832
50,-0.03907739481260935,-0.27641968850555293
49,0.039037962356367424,0.27613873328170657
55,-0.03789600090490274,-0.2820152392265247
52,-0.03759148440091432,-0.25516821756917485
124,-0.03747861787166492,-0.3487339786517539
33,0.03731527798587798,0.30390014285642974
106,-0.03723141789488446,-0.2633365408419312
94,-0.037042517613773154,-0.3269500831449807
84,-0.03694634328387122,-0.33102627179787314
37,0.03642823255121965,0.3200745421570754
69,-0.03624033888102768,-0.264766294964611
99,0.035823148818507816,0.499215831280217
92,0.035496459862287534,0.38606640777778645
120,0.03519511138002049,0.3703035212121972
155,-0.03485715450816962,-0.32868425581225125
83,0.03426300000502923,0.4794453445384946
112,-0.034122994062053054,-0.23211678767775562
163,0.033716862603042456,0.2952439092586173
121,0.03255788827166146,0.2824479049947571
60,-0.0325166389451397,-0.31547168546131615
47,0.03224861248148822,0.21468480175869284
16,0.03187547286077208,0.5038458492175106
89,-0.031171802962462945,-0.24049892636327122
137,-0.03030437638390449,-0.23401789180833701
96,-0.029974680470690563,-0.20344318320064336
62,0.02942204162944954,0.3808674702271647
162,-0.02917649459542538,-0.21320571166196706
45,-0.029104321470376178,-0.28976335188039476
35,0.02892988707243674,0.27269009112377385
32,0.028923504076464785,0.5091422076446288
167,-0.028845705878352456,-0.2521519558771949
116,-0.028662300491608853,-0.20282836385423528
36,-0.028514378629745242,-0.4136356668351028
176,-0.028493655645396236,-0.4676216897669401
175,-0.028407063124550748,-0.2638972349217279
118,-0.02833391462753577,-0.21895151772334434
110,-0.028267271192181222,-0.21232492303380654
122,-0.02810044058709605,-0.18860551900747888
5,0.028095157446010512,0.3714446281470701
145,-0.027987633826052807,-0.2742494194201847
135,-0.027979730764083444,-0.187850227449243
156,0.027360551711222498,0.2819660788925031
111,0.027110517063654138,0.24764308142585112
144,0.027022664831189466,0.2672572052755375
128,-0.026887528622785137,-0.21592308232879237
13,-0.026707674049269218,-0.27196052467713944
72,0.02666572042640041,0.18020330211852717
190,0.0262629617031091,0.23361223576346918
187,-0.0261200095589332,-0.22727454961871144
40,-0.026104513185853696,-0.23884894652370883
177,-0.02608873236634248,-0.25638232696957863
42,0.02579156400390764,0.2634417191447767
74,-0.025740460276926263,-0.3369435212357801
151,-0.025613348166034826,-0.19116666364098878
2,-0.025552370429734714,-0.24161596332878826
54,0.02491032099363809,0.22407117275004945
178,-0.0248756870638169,-0.19328598907388161
98,0.02482146767672018,0.2318392476690167
23,-0.024793328135239916,-0.24198916357982253
15,0.02449597321379373,0.2969717516465051
91,0.024490870605043524,0.2378711419757037
53,-0.024065303151447785,-0.23462352579787513
146,-0.024063098278769082,-0.22312345724253987
166,0.024037177607408453,0.22725170207411277
64,0.02387367906119164,0.45711921946734957
171,0.023773930016789874,0.23168028639969562
90,0.023642051422070088,0.36860330199501573
161,-0.023526482767928854,-0.2169715081061528
82,0.023482169059864565,0.1614633524100447
184,0.022807114541213543,0.23870594853841362
133,-0.022049662962021165,-0.19305197698206583
189,-0.021986713082803536,-0.19517324241737957
44,-0.021349205589578518,-0.22477804251136718
75,-0.020789792076749383,-0.18331799808955726
56,0.020647861184084577,0.26759058283052445
182,0.02054464122801103,0.21488778246008017
58,-0.01937174980836766,-0.19103820535006288
125,0.019353063346378402,0.1750881100175607
147,-0.019175258563475673,-0.1432832827888145
170,0.019072569145128292,0.16113036553619509
27,-0.01872121926065672,-0.125347207539616
10,-0.018580653457745126,-0.22167685671391937
174,-0.01761044423491935,-0.16217446491021867
173,-0.017338735773423385,-0.20195135694635527
148,0.01714689146543501,0.2223784518462884
131,-0.01670532647906945,-0.166661021901605
126,-0.01656330259897152,-0.19496398618989144
154,0.015940568256573848,0.2180910650631873
86,0.015483826438925364,0.16812694610927326
179,-0.01472553840944824,-0.20079962923101105
7,0.01439023098418088,0.16968314132181322
105,0.013710650338695441,0.24443302069501685
153,-0.012553384394232717,-0.14693178170817472
142,0.011991533012435891,0.10227546803508368
127,0.011849996361123702,0.075592261818013
130,0.011710099557573347,0.19593797188663994
164,0.011265439831190133,0.13298694628452154
117,0.010925029200892713,0.0917216249878992
152,-0.010240661657473225,-0.09623082767558983
101,0.00998994821148342,0.16642519956202928
85,-0.009548231747832165,-0.10811592385085049
160,-0.009401571455961887,-0.0884088808818867
180,-0.008702357741848445,-0.08950028022111023
169,-0.008534410042817147,-0.08503919065575198
108,-0.008345194226857209,-0.11127173744517783
172,-0.008085030454649231,-0.0823657968736511
129,-0.007940258674794736,-0.07222365120708611
141,0.007566913916361324,0.1747656565987093
93,-0.0071471459272695655,-0.06987095161586719
103,0.006995063154766978,0.0743711646737683
113,0.006382246967388864,0.10530916730361459
119,-0.006202255163471993,-0.1030612716105467
181,-0.006200772249763042,-0.05497831995420345
4,0.005880295476332732,0.07843713986661074
139,0.005745790792070084,0.06798433851115085
165,-0.005584654552203757,-0.06507797015080526
143,0.004834165653491049,0.04682640937162828
77,0.004741094310649456,0.05477898466803617
186,-0.003534456474151185,-0.03689255546956025
73,-0.003094080532957353,-0.04783827345902714
191,0.0023012565452539065,0.025938022954159583
76,-0.0020713195596499,-0.028342562261155224
104,0.0015642676611104791,0.02441301147491733
115,-0.0013249393054275292,-0.01845108752398953
183,-0.0013133329293788462,-0.015202264186737811
149,-0.001009000098728114,-0.009181048542695105
107,-0.0007326525066741355,-0.008790658246526428
136,0.00044129922812406443,0.005271180713893587
123,-0.00012864131283075076,-0.0018997589066541928
